,Content
181,"

Skip to main content




COVID-19 information and updates


Public health information from CDC
Grant and research information from NIH
NIDDK COVID-19 Research Response








U.S. Department of Health and Human Services











Search
Menu



Search for Information from NIDDK




Entire Site
Research & Funding
Health Information
News
About NIDDK



Search








Home







Research & Funding
Expand Research & Funding




Current Funding Opportunities
Research Programs & Contacts
Human Subjects Research
Funding Process


Research Training & Career Development
Funded Grants & Grant History
Research Resources


Research at NIDDK
Technology Advancement & Transfer
Meetings & Workshops







Health Information
Expand Health Information




Health Topics
Diabetes
Digestive Diseases
Kidney Disease
Weight Management
Liver Disease
Urologic Diseases
Endocrine Diseases
Diet & Nutrition
Blood Diseases
Diagnostic Tests


La información de la salud en español
Health Statistics
Healthy Moments Radio Broadcast
Clinical Trials


For Health Professionals
Diabetes Discoveries & Practice Blog
Community Health & Outreach







News
Expand News




News Archive
For Reporters


Meetings & Workshops
Media Library


Follow Us







About NIDDK
Expand About NIDDK




Meet the Director
Offices & Divisions
Staff Directory
Budget & Legislative Information


Advisory & Coordinating Committees
Strategic Plans & Reports
Research Areas
FAQs


Jobs at NIDDK
Visit Us
Contact Us

















Home



Health Information



Diabetes



Diabetes Overview




What is Diabetes?




Related Topics


English


English
Español





Diabetes Overview


What is Diabetes?


Type 1 Diabetes


Type 2 Diabetes


Insulin Resistance & Prediabetes


Gestational Diabetes


Monogenic Diabetes




Symptoms & Causes


Risk Factors for Type 2 Diabetes


Diabetes Risk Test




Preventing Type 2 Diabetes


Your Game Plan to Prevent Type 2 Diabetes


Choose More than 50 Ways to Prevent Type 2 Diabetes


We Have the Power to Prevent Diabetes: Tips for American Indians & Alaska Natives


Two Reasons I Find Time to Prevent Diabetes: My Future & Theirs (Tips for Asian Americans & Pacific Islanders)




Diabetes Tests & Diagnosis


Managing Diabetes


Continuous Glucose Monitoring


4 Steps to Manage Your Diabetes for Life


Take Care of Your Diabetes During Sick Days & Special Times


Know Your Blood Sugar Numbers




Insulin, Medicines, & Other Diabetes Treatments


Questions to Ask about Your Diabetes Medicines


Pancreatic Islet Transplantation




Diabetes Diet, Eating, & Physical Activity


Preventing Diabetes Problems


Diabetes, Heart Disease, & Stroke


Low Blood Glucose (Hypoglycemia)


Diabetic Neuropathy


Diabetic Kidney Disease


Diabetes & Foot Problems


Diabetic Eye Disease


Diabetes, Gum Disease, & Other Dental Problems


Diabetes, Sexual, & Bladder Problems




Clinical Trials




What is Diabetes?

In this section:   


What are the different types of diabetes?
How common is diabetes?
Who is more likely to develop type 2 diabetes?
What health problems can people with diabetes develop?

Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy. Sometimes your body doesn’t make enough—or any—insulin or doesn’t use insulin well. Glucose then stays in your blood and doesn’t reach your cells.

Over time, having too much glucose in your blood can cause health problems. Although diabetes has no cure, you can take steps to manage your diabetes and stay healthy.

Sometimes people call diabetes “a touch of sugar” or “borderline diabetes.” These terms suggest that someone doesn’t really have diabetes or has a less serious case, but every case of diabetes is serious.



Diabetes affects just about everyone, from the over 110 million Americans with or at risk for the disease to the many more people who care for them. 

What are the different types of diabetes?
The most common types of diabetes are type 1, type 2, and gestational diabetes.

Type 1 diabetes 

If you have type 1 diabetes, your body does not make insulin. Your immune system attacks and destroys the cells in your pancreas that make insulin. Type 1 diabetes is  usually diagnosed in children and young adults, although it can appear at any age. People with type 1 diabetes need to take insulin every day to stay alive.

Type 2 diabetes

If you have type 2 diabetes, your body does not make or use insulin well. You can develop type 2 diabetes at any age, even during childhood. However, this type of diabetes occurs most often in middle-aged and older people. Type 2 is the most common type of diabetes. 

Gestational diabetes 

Gestational diabetes develops in some women when they are pregnant. Most of the time, this type of diabetes goes away after the baby is born. However, if you’ve had gestational diabetes, you have a greater chance of developing type 2 diabetes later in life. Sometimes diabetes diagnosed during pregnancy is actually type 2 diabetes.

Other types of diabetes

Less common types include monogenic diabetes, which is an inherited form of diabetes, and cystic fibrosis-related diabetes.

How common is diabetes?
As of 2015, 30.3 million people in the United States, or 9.4 percent of the population, had diabetes. More than 1 in 4 of them didn’t know they had the disease. Diabetes affects 1 in 4 people over the age of 65. About 90-95 percent of cases in adults are type 2 diabetes.1
Who is more likely to develop type 2 diabetes?
You are more likely to develop type 2 diabetes if you are age 45 or older, have a family history of diabetes, or are overweight. Physical inactivity, race, and certain health problems such as high blood pressure also affect your chance of developing type 2 diabetes. You are also more likely to develop type 2 diabetes if you have prediabetes or had gestational diabetes when you were pregnant. Learn more about risk factors for type 2 diabetes.

What health problems can people with diabetes develop?
Over time, high blood glucose leads to problems such as

heart disease
stroke
kidney disease
eye problems
dental disease
nerve damage
foot problems 


You can take steps to lower your chances of developing these diabetes-related health problems.

References

[1] Centers for Disease Control and Prevention. National diabetes statistics report, 2017. Centers for Disease Control and Prevention website.  www.cdc.gov/diabetes/pdfs/data/statistics/national-diabetes-statistics-report.pdf (PDF, 1.3 MB) . Updated July, 18 2017. Accessed August 1, 2017.

 Last Reviewed December 2016

Share











Previous:
                Diabetes Overview
            



Next:
                Symptoms & Causes
            




        This content is provided as a service of the National Institute of Diabetes and Digestive and Kidney Diseases
(NIDDK), part of the National Institutes of Health. The NIDDK translates and disseminates research findings to increase knowledge and understanding about health and disease among patients, health professionals, and the public. Content produced by the NIDDK is carefully reviewed by NIDDK scientists and other experts.


























Contact Us








Hours: 8:30 a.m. to 5 p.m. ET, Monday - Friday


Email: healthinfo@niddk.nih.gov


Phone: +1-800-860-8747




TTY: +1-866-569-1162






Chat












































Live Chat Available12 - 5 p.m. ETMonday - Friday



Follow Us
Twitter
Facebook
YouTube
Instagram




NIH… Turning Discovery Into Health ®


Research & Funding



Current Funding Opportunities


Research Programs & Contacts


Human Subjects Research


Funding Process


Research Training & Career Development


Funded Grants & Grant History


Research Resources


Research at NIDDK


Technology Advancement & Transfer


Meetings & Workshops





Health Information



Diabetes


Digestive Diseases


Kidney Disease


Weight Management


Liver Disease


Urologic Diseases


Endocrine Diseases


Diet & Nutrition


Blood Diseases


Diagnostic Tests


La información de la salud en español


Health Statistics


Healthy Moments Radio Broadcast


Clinical Trials


For Health Professionals


Diabetes Discoveries & Practice Blog


Community Health & Outreach





News



News Archive


For Reporters


Meetings & Workshops


Media Library


Follow Us


Get Email Updates





About NIDDK



Meet the Director


Offices & Divisions


Staff Directory


Budget & Legislative Information


Advisory & Coordinating Committees


Strategic Plans & Reports


Research Areas


FAQs


Jobs at NIDDK


Visit Us


Contact Us








Privacy Policy
Freedom of Information Act
Accessibility
Disclaimers
Copyright
Site Map
For Staff Only
Jobs at NIDDK






U.S. Department of Health and Human Services




National Institutes of Health



USA.gov








"
274,"




Home



Health Information



Diabetes



Diabetes Overview




What is Diabetes?




Related Topics


English


English
Español





Diabetes Overview


What is Diabetes?


Type 1 Diabetes


Type 2 Diabetes


Insulin Resistance & Prediabetes


Gestational Diabetes


Monogenic Diabetes




Symptoms & Causes


Risk Factors for Type 2 Diabetes


Diabetes Risk Test




Preventing Type 2 Diabetes


Your Game Plan to Prevent Type 2 Diabetes


Choose More than 50 Ways to Prevent Type 2 Diabetes


We Have the Power to Prevent Diabetes: Tips for American Indians & Alaska Natives


Two Reasons I Find Time to Prevent Diabetes: My Future & Theirs (Tips for Asian Americans & Pacific Islanders)




Diabetes Tests & Diagnosis


Managing Diabetes


Continuous Glucose Monitoring


4 Steps to Manage Your Diabetes for Life


Take Care of Your Diabetes During Sick Days & Special Times


Know Your Blood Sugar Numbers




Insulin, Medicines, & Other Diabetes Treatments


Questions to Ask about Your Diabetes Medicines


Pancreatic Islet Transplantation




Diabetes Diet, Eating, & Physical Activity


Preventing Diabetes Problems


Diabetes, Heart Disease, & Stroke


Low Blood Glucose (Hypoglycemia)


Diabetic Neuropathy


Diabetic Kidney Disease


Diabetes & Foot Problems


Diabetic Eye Disease


Diabetes, Gum Disease, & Other Dental Problems


Diabetes, Sexual, & Bladder Problems




Clinical Trials




What is Diabetes?

In this section:   


What are the different types of diabetes?
How common is diabetes?
Who is more likely to develop type 2 diabetes?
What health problems can people with diabetes develop?

Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy. Sometimes your body doesn’t make enough—or any—insulin or doesn’t use insulin well. Glucose then stays in your blood and doesn’t reach your cells.

Over time, having too much glucose in your blood can cause health problems. Although diabetes has no cure, you can take steps to manage your diabetes and stay healthy.

Sometimes people call diabetes “a touch of sugar” or “borderline diabetes.” These terms suggest that someone doesn’t really have diabetes or has a less serious case, but every case of diabetes is serious.



Diabetes affects just about everyone, from the over 110 million Americans with or at risk for the disease to the many more people who care for them. 

What are the different types of diabetes?
The most common types of diabetes are type 1, type 2, and gestational diabetes.

Type 1 diabetes 

If you have type 1 diabetes, your body does not make insulin. Your immune system attacks and destroys the cells in your pancreas that make insulin. Type 1 diabetes is  usually diagnosed in children and young adults, although it can appear at any age. People with type 1 diabetes need to take insulin every day to stay alive.

Type 2 diabetes

If you have type 2 diabetes, your body does not make or use insulin well. You can develop type 2 diabetes at any age, even during childhood. However, this type of diabetes occurs most often in middle-aged and older people. Type 2 is the most common type of diabetes. 

Gestational diabetes 

Gestational diabetes develops in some women when they are pregnant. Most of the time, this type of diabetes goes away after the baby is born. However, if you’ve had gestational diabetes, you have a greater chance of developing type 2 diabetes later in life. Sometimes diabetes diagnosed during pregnancy is actually type 2 diabetes.

Other types of diabetes

Less common types include monogenic diabetes, which is an inherited form of diabetes, and cystic fibrosis-related diabetes.

How common is diabetes?
As of 2015, 30.3 million people in the United States, or 9.4 percent of the population, had diabetes. More than 1 in 4 of them didn’t know they had the disease. Diabetes affects 1 in 4 people over the age of 65. About 90-95 percent of cases in adults are type 2 diabetes.1
Who is more likely to develop type 2 diabetes?
You are more likely to develop type 2 diabetes if you are age 45 or older, have a family history of diabetes, or are overweight. Physical inactivity, race, and certain health problems such as high blood pressure also affect your chance of developing type 2 diabetes. You are also more likely to develop type 2 diabetes if you have prediabetes or had gestational diabetes when you were pregnant. Learn more about risk factors for type 2 diabetes.

What health problems can people with diabetes develop?
Over time, high blood glucose leads to problems such as

heart disease
stroke
kidney disease
eye problems
dental disease
nerve damage
foot problems 


You can take steps to lower your chances of developing these diabetes-related health problems.

References

[1] Centers for Disease Control and Prevention. National diabetes statistics report, 2017. Centers for Disease Control and Prevention website.  www.cdc.gov/diabetes/pdfs/data/statistics/national-diabetes-statistics-report.pdf (PDF, 1.3 MB) . Updated July, 18 2017. Accessed August 1, 2017.

 Last Reviewed December 2016

Share











Previous:
                Diabetes Overview
            



Next:
                Symptoms & Causes
            




        This content is provided as a service of the National Institute of Diabetes and Digestive and Kidney Diseases
(NIDDK), part of the National Institutes of Health. The NIDDK translates and disseminates research findings to increase knowledge and understanding about health and disease among patients, health professionals, and the public. Content produced by the NIDDK is carefully reviewed by NIDDK scientists and other experts.








"
275,"



Home



Health Information



Diabetes



Diabetes Overview




What is Diabetes?




Related Topics


English


English
Español


"
276,"


Home



Health Information



Diabetes



Diabetes Overview




What is Diabetes?



"
278,"

Diabetes Overview


What is Diabetes?


Type 1 Diabetes


Type 2 Diabetes


Insulin Resistance & Prediabetes


Gestational Diabetes


Monogenic Diabetes




Symptoms & Causes


Risk Factors for Type 2 Diabetes


Diabetes Risk Test




Preventing Type 2 Diabetes


Your Game Plan to Prevent Type 2 Diabetes


Choose More than 50 Ways to Prevent Type 2 Diabetes


We Have the Power to Prevent Diabetes: Tips for American Indians & Alaska Natives


Two Reasons I Find Time to Prevent Diabetes: My Future & Theirs (Tips for Asian Americans & Pacific Islanders)




Diabetes Tests & Diagnosis


Managing Diabetes


Continuous Glucose Monitoring


4 Steps to Manage Your Diabetes for Life


Take Care of Your Diabetes During Sick Days & Special Times


Know Your Blood Sugar Numbers




Insulin, Medicines, & Other Diabetes Treatments


Questions to Ask about Your Diabetes Medicines


Pancreatic Islet Transplantation




Diabetes Diet, Eating, & Physical Activity


Preventing Diabetes Problems


Diabetes, Heart Disease, & Stroke


Low Blood Glucose (Hypoglycemia)


Diabetic Neuropathy


Diabetic Kidney Disease


Diabetes & Foot Problems


Diabetic Eye Disease


Diabetes, Gum Disease, & Other Dental Problems


Diabetes, Sexual, & Bladder Problems




Clinical Trials




What is Diabetes?

In this section:   


What are the different types of diabetes?
How common is diabetes?
Who is more likely to develop type 2 diabetes?
What health problems can people with diabetes develop?

Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy. Sometimes your body doesn’t make enough—or any—insulin or doesn’t use insulin well. Glucose then stays in your blood and doesn’t reach your cells.

Over time, having too much glucose in your blood can cause health problems. Although diabetes has no cure, you can take steps to manage your diabetes and stay healthy.

Sometimes people call diabetes “a touch of sugar” or “borderline diabetes.” These terms suggest that someone doesn’t really have diabetes or has a less serious case, but every case of diabetes is serious.



Diabetes affects just about everyone, from the over 110 million Americans with or at risk for the disease to the many more people who care for them. 

What are the different types of diabetes?
The most common types of diabetes are type 1, type 2, and gestational diabetes.

Type 1 diabetes 

If you have type 1 diabetes, your body does not make insulin. Your immune system attacks and destroys the cells in your pancreas that make insulin. Type 1 diabetes is  usually diagnosed in children and young adults, although it can appear at any age. People with type 1 diabetes need to take insulin every day to stay alive.

Type 2 diabetes

If you have type 2 diabetes, your body does not make or use insulin well. You can develop type 2 diabetes at any age, even during childhood. However, this type of diabetes occurs most often in middle-aged and older people. Type 2 is the most common type of diabetes. 

Gestational diabetes 

Gestational diabetes develops in some women when they are pregnant. Most of the time, this type of diabetes goes away after the baby is born. However, if you’ve had gestational diabetes, you have a greater chance of developing type 2 diabetes later in life. Sometimes diabetes diagnosed during pregnancy is actually type 2 diabetes.

Other types of diabetes

Less common types include monogenic diabetes, which is an inherited form of diabetes, and cystic fibrosis-related diabetes.

How common is diabetes?
As of 2015, 30.3 million people in the United States, or 9.4 percent of the population, had diabetes. More than 1 in 4 of them didn’t know they had the disease. Diabetes affects 1 in 4 people over the age of 65. About 90-95 percent of cases in adults are type 2 diabetes.1
Who is more likely to develop type 2 diabetes?
You are more likely to develop type 2 diabetes if you are age 45 or older, have a family history of diabetes, or are overweight. Physical inactivity, race, and certain health problems such as high blood pressure also affect your chance of developing type 2 diabetes. You are also more likely to develop type 2 diabetes if you have prediabetes or had gestational diabetes when you were pregnant. Learn more about risk factors for type 2 diabetes.

What health problems can people with diabetes develop?
Over time, high blood glucose leads to problems such as

heart disease
stroke
kidney disease
eye problems
dental disease
nerve damage
foot problems 


You can take steps to lower your chances of developing these diabetes-related health problems.

References

[1] Centers for Disease Control and Prevention. National diabetes statistics report, 2017. Centers for Disease Control and Prevention website.  www.cdc.gov/diabetes/pdfs/data/statistics/national-diabetes-statistics-report.pdf (PDF, 1.3 MB) . Updated July, 18 2017. Accessed August 1, 2017.

 Last Reviewed December 2016

Share











Previous:
                Diabetes Overview
            



Next:
                Symptoms & Causes
            




        This content is provided as a service of the National Institute of Diabetes and Digestive and Kidney Diseases
(NIDDK), part of the National Institutes of Health. The NIDDK translates and disseminates research findings to increase knowledge and understanding about health and disease among patients, health professionals, and the public. Content produced by the NIDDK is carefully reviewed by NIDDK scientists and other experts.







"
279,"
In this section:   


What are the different types of diabetes?
How common is diabetes?
Who is more likely to develop type 2 diabetes?
What health problems can people with diabetes develop?

Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy. Sometimes your body doesn’t make enough—or any—insulin or doesn’t use insulin well. Glucose then stays in your blood and doesn’t reach your cells.

Over time, having too much glucose in your blood can cause health problems. Although diabetes has no cure, you can take steps to manage your diabetes and stay healthy.

Sometimes people call diabetes “a touch of sugar” or “borderline diabetes.” These terms suggest that someone doesn’t really have diabetes or has a less serious case, but every case of diabetes is serious.



Diabetes affects just about everyone, from the over 110 million Americans with or at risk for the disease to the many more people who care for them. 

What are the different types of diabetes?
The most common types of diabetes are type 1, type 2, and gestational diabetes.

Type 1 diabetes 

If you have type 1 diabetes, your body does not make insulin. Your immune system attacks and destroys the cells in your pancreas that make insulin. Type 1 diabetes is  usually diagnosed in children and young adults, although it can appear at any age. People with type 1 diabetes need to take insulin every day to stay alive.

Type 2 diabetes

If you have type 2 diabetes, your body does not make or use insulin well. You can develop type 2 diabetes at any age, even during childhood. However, this type of diabetes occurs most often in middle-aged and older people. Type 2 is the most common type of diabetes. 

Gestational diabetes 

Gestational diabetes develops in some women when they are pregnant. Most of the time, this type of diabetes goes away after the baby is born. However, if you’ve had gestational diabetes, you have a greater chance of developing type 2 diabetes later in life. Sometimes diabetes diagnosed during pregnancy is actually type 2 diabetes.

Other types of diabetes

Less common types include monogenic diabetes, which is an inherited form of diabetes, and cystic fibrosis-related diabetes.

How common is diabetes?
As of 2015, 30.3 million people in the United States, or 9.4 percent of the population, had diabetes. More than 1 in 4 of them didn’t know they had the disease. Diabetes affects 1 in 4 people over the age of 65. About 90-95 percent of cases in adults are type 2 diabetes.1
Who is more likely to develop type 2 diabetes?
You are more likely to develop type 2 diabetes if you are age 45 or older, have a family history of diabetes, or are overweight. Physical inactivity, race, and certain health problems such as high blood pressure also affect your chance of developing type 2 diabetes. You are also more likely to develop type 2 diabetes if you have prediabetes or had gestational diabetes when you were pregnant. Learn more about risk factors for type 2 diabetes.

What health problems can people with diabetes develop?
Over time, high blood glucose leads to problems such as

heart disease
stroke
kidney disease
eye problems
dental disease
nerve damage
foot problems 


You can take steps to lower your chances of developing these diabetes-related health problems.

References

[1] Centers for Disease Control and Prevention. National diabetes statistics report, 2017. Centers for Disease Control and Prevention website.  www.cdc.gov/diabetes/pdfs/data/statistics/national-diabetes-statistics-report.pdf (PDF, 1.3 MB) . Updated July, 18 2017. Accessed August 1, 2017.

"
282,"


Previous:
                Diabetes Overview
            



Next:
                Symptoms & Causes
            

"
283,"
Previous:
                Diabetes Overview
            "
284,"
Next:
                Symptoms & Causes
            "
300,Symptoms of diabetes include
301,"Symptoms of type 1 diabetes can start quickly, in a matter of weeks. Symptoms of type 2 diabetes often develop slowly—over the course of several years—and can be so mild that you might not even notice them. Many people with type 2 diabetes have no symptoms. Some people do not find out they have the disease until they have diabetes-related health problems, such as blurred vision or heart trouble.
"
303,"Type 1 diabetes occurs when your immune system, the body’s system for fighting infection, attacks and destroys the insulin-producing beta cells of the pancreas. Scientists think type 1 diabetes is caused by genes and environmental factors, such as viruses, that might trigger the disease. Studies such as TrialNet are working to pinpoint causes of type 1 diabetes and possible ways to prevent or slow the disease.
"
304,"Type 2 diabetes—the most common form of diabetes—is caused by several factors, including lifestyle factors and genes.
"
305,"You are more likely to develop type 2 diabetes if you are not physically active and are overweight or obese. Extra weight sometimes causes insulin resistance and is common in people with type 2 diabetes. The location of body fat also makes a difference. Extra belly fat is linked to insulin resistance, type 2 diabetes, and heart and blood vessel disease. To see if your weight puts you at risk for type 2 diabetes, check out these Body Mass Index (BMI) charts."
306,"Type 2 diabetes usually begins with insulin resistance, a condition in which muscle, liver, and fat cells do not use insulin well. As a result, your body needs more insulin to help glucose enter cells. At first, the pancreas makes more insulin to keep up with the added demand. Over time, the pancreas can’t make enough insulin, and blood glucose levels rise.
"
307,"As in type 1 diabetes, certain genes may make you more likely to develop type 2 diabetes. The disease tends to run in families and occurs more often in these racial/ethnic groups:
"
308,"Genes also can increase the risk of type 2 diabetes by increasing a person’s tendency to become overweight or obese.
"
309,"Scientists believe gestational diabetes, a type of diabetes that develops during pregnancy, is caused by the hormonal changes of pregnancy along with genetic and lifestyle factors.
"
310,"Hormones produced by the placenta contribute to insulin resistance, which occurs in all women during late pregnancy. Most pregnant women can produce enough insulin to overcome insulin resistance, but some cannot. Gestational diabetes occurs when the pancreas can’t make enough insulin."
311,"
As with type 2 diabetes, extra weight is linked to gestational diabetes. Women who are overweight or obese may already have insulin resistance when they become pregnant. Gaining too much weight during pregnancy may also be a factor.
"
312,"Having a family history of diabetes makes it more likely that a woman will develop gestational diabetes, which suggests that genes play a role. Genes may also explain why the disorder occurs more often in African Americans, American Indians, Asians, and Hispanics/Latinas.
"
314,"Genetic mutations, other diseases, damage to the pancreas, and certain medicines may also cause diabetes.
"
315,"Some hormonal diseases cause the body to produce too much of certain hormones, which sometimes cause insulin resistance and diabetes."
316,"Pancreatitis, pancreatic cancer, and trauma can all harm the beta cells or make them less able to produce insulin, resulting in diabetes. If the damaged pancreas is removed, diabetes will occur due to the loss of the beta cells."
317,Sometimes certain medicines can harm beta cells or disrupt the way insulin works. These include
318,"Statins, which are medicines to reduce LDL (“bad”) cholesterol levels, can slightly increase the chance that you’ll develop diabetes. However, statins help protect you from heart disease and stroke. For this reason, the strong benefits of taking statins outweigh the small chance that you could develop diabetes.
"
319,"If you take any of these medicines and are concerned about their side effects, talk with your doctor.
"
